kundennummer;firma;datum;art;netto;brutto;quelle
10189;SchÃ¼Ãler Fenster- &amp TÃ¼rsysteme;2022-04-07;INVOICE;10600.0;12614.0;lexoffice_alt
10190;Franz Dengel;2022-04-14;INVOICE;7400.0;8806.0;lexoffice_alt
10077;Solarenergische GmbH;2022-04-20;INVOICE;4600.0;5474.0;lexoffice_alt
10150;A. Frantzen & Sohn GmbH;2022-04-26;INVOICE;2500.0;2975.0;lexoffice_alt
10149;SHIELD Sicherheitstechnik GmbH;2022-05-12;INVOICE;9000.0;10710.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2022-06-15;INVOICE;10600.0;12614.0;lexoffice_alt
10212;Crosscorpo GmbH;2022-06-23;INVOICE;10600.0;12614.0;lexoffice_alt
10216;Frank Schweimanns SanitÃ¤r - Heizung;2022-06-23;INVOICE;6500.0;7735.0;lexoffice_alt
10222;Apotheke Dr. JÃ¤ger;2022-06-28;INVOICE;7000.0;8330.0;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-06-29;INVOICE;3700.0;4403.0;lexoffice_alt
10229;Zimmerermeister Michael Bormann GmbH;2022-07-01;INVOICE;6500.0;7735.0;lexoffice_alt
10223;Stuckateur Laib;2022-07-04;INVOICE;6500.0;7735.0;lexoffice_alt
10004;Systego UG;2022-07-07;INVOICE;1890.0;2249.1;lexoffice_alt
10238;Gartengestaltung Dobmeier;2022-07-08;INVOICE;8400.0;9996.0;lexoffice_alt
10243;Protect-Sicherheitstechnik Ltd.;2022-07-12;INVOICE;7250.0;8627.5;lexoffice_alt
10247;ETR - Elektrotechnik Rall;2022-07-19;INVOICE;8400.0;9996.0;lexoffice_alt
10212;Crosscorpo GmbH;2022-07-19;INVOICE;5300.0;6307.0;lexoffice_alt
10251;Henry Holze Raumdesign;2022-07-22;INVOICE;8400.0;9996.0;lexoffice_alt
10253;Permaton Wpc Grassau GmbH;2022-07-27;INVOICE;7400.0;8806.0;lexoffice_alt
10254;KÃ¶ck & Dengl Orthotreff GmbH;2022-07-27;INVOICE;7500.0;8925.0;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-07-27;INVOICE;3700.0;4403.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-07-28;INVOICE;7000.0;8330.0;lexoffice_alt
10259;Waagen-JÃ¶hnk KG;2022-08-02;INVOICE;8400.0;9996.0;lexoffice_alt
10251;Henry Holze Raumdesign;2022-08-03;INVOICE;-6300.0;-7497.0;lexoffice_alt
10265;MOLLI Garten- und Landschaftsbau Niklas Molitor;2022-08-05;INVOICE;8400.0;9996.0;lexoffice_alt
10266;ProVia Automation GmbH;2022-08-11;INVOICE;8400.0;9996.0;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-08-15;INVOICE;327.64;389.89;lexoffice_alt
10268;Schmitz Sonnenschutztechnik;2022-08-17;INVOICE;7500.0;8925.0;lexoffice_alt
10264;HEAST GmbH;2022-08-18;INVOICE;8400.0;9996.0;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-08-23;INVOICE;256.57;305.32;lexoffice_alt
10270;Lutz Auto & Service GmbH;2022-08-24;INVOICE;7500.0;8925.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-08-29;INVOICE;193.01999999999998;229.69;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-08-31;INVOICE;805.5;958.55;lexoffice_alt
10253;Permaton Wpc Grassau GmbH;2022-09-02;INVOICE;964.8200000000002;1148.14;lexoffice_alt
10273;Bon-a-Therme Ofen- und Luftheizungsbau GmbH;2022-09-06;INVOICE;7900.0;9401.0;lexoffice_alt
10223;Stuckateur Laib;2022-09-08;INVOICE;800.0;952.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-09-13;INVOICE;1266.6499999999999;1507.31;lexoffice_alt
10253;Permaton Wpc Grassau GmbH;2022-09-13;INVOICE;1107.47;1317.89;lexoffice_alt
10220;Kugler Elektrotechnik GmbH;2022-09-13;INVOICE;906.3699999999999;1078.58;lexoffice_alt
10278;ERFURT e-Mobility UG;2022-09-14;INVOICE;6700.0;7973.0;lexoffice_alt
10279;JÃ¶rg Pelzer Bedachungen;2022-09-15;INVOICE;6300.0;7497.0;lexoffice_alt
10061;Rendle SanitÃ¤rtechnik GmbH;2022-09-19;INVOICE;900.0;1071.0;lexoffice_alt
10281;LKL Service GmbH;2022-09-19;INVOICE;6700.0;7973.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-09-19;INVOICE;336.33000000000004;400.23;lexoffice_alt
10282;Manger Installationstechnik GmbH & C. KG;2022-09-20;INVOICE;6700.0;7973.0;lexoffice_alt
10283;Galante Facility Management und Maintenance GmbH;2022-09-22;INVOICE;6500.0;7735.0;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2022-09-22;INVOICE;2500.0;2975.0;lexoffice_alt
10284;Firma Fabian Dohrau;2022-09-23;INVOICE;6700.0;7973.0;lexoffice_alt
10287;Auto Beres;2022-09-28;INVOICE;6700.0;7973.0;lexoffice_alt
10089;MS BÃ¤der Design;2022-09-28;INVOICE;4600.0;5474.0;lexoffice_alt
10286;Frank Pfeil Gas-Heizungs-SanitÃ¤r GmbH;2022-09-28;INVOICE;4600.0;5474.0;lexoffice_alt
10077;Solarenergische GmbH;2022-09-30;INVOICE;4000.0;4760.0;lexoffice_alt
10285;Strippenzieher Lindner;2022-10-01;INVOICE;6700.0;7973.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-10-04;INVOICE;1500.0;1785.0;lexoffice_alt
10289;VReSH Energie GmbH;2022-10-11;INVOICE;8000.0;9520.0;lexoffice_alt
